Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.56     0.00        1     0.00     0.00  set_graphics_state
  0.00      0.56     0.00        1     0.00     0.00  setup_chan_width
  0.00      0.56     0.00        1     0.00     0.00  start_hash_table_iterator
  0.00      0.56     0.00        1     0.00     0.34  starting_t
  0.00      0.56     0.00        1     0.00   550.01  try_place

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2014 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 1.79% of 0.56 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00    0.56                 main [1]
                0.00    0.55       1/1           place_and_route [2]
                0.00    0.01       1/1           SetupVPR [33]
                0.00    0.00       1/1           PrintTitle [213]
                0.00    0.00       1/1           ReadOptions [222]
                0.00    0.00       1/1           IsTimingEnabled [212]
                0.00    0.00       1/1           CheckOptions [207]
                0.00    0.00       1/1           CheckArch [206]
                0.00    0.00       1/1           CheckSetup [209]
                0.00    0.00       1/1           ShowSetup [235]
                0.00    0.00       1/1           set_graphics_state [306]
-----------------------------------------------
                0.00    0.55       1/1           main [1]
[2]     98.2    0.00    0.55       1         place_and_route [2]
                0.00    0.55       1/1           try_place [3]
-----------------------------------------------
                0.00    0.55       1/1           place_and_route [2]
[3]     98.2    0.00    0.55       1         try_place [3]
                0.00    0.41       1/1           alloc_lookups_and_criticalities [4]
                0.01    0.13   57040/57178       try_swap [16]
                0.00    0.00       1/1           starting_t [53]
                0.00    0.00       9/9           comp_td_costs [54]
                0.00    0.00       9/9           load_timing_graph_net_delays [164]
                0.00    0.00       9/9           load_net_slack [163]
                0.00    0.00       9/9           load_criticalities [162]
                0.00    0.00       8/8           update_screen [167]
                0.00    0.00       8/8           exit_crit [165]
                0.00    0.00       7/8           get_std_dev [166]
                0.00    0.00       7/7           update_t [170]
                0.00    0.00       7/7           update_rlim [169]
                0.00    0.00       1/382817      my_malloc [57]
                0.00    0.00       1/2           init_chan [203]
                0.00    0.00       1/1           alloc_and_load_placement_structs [243]
                0.00    0.00       1/1           initial_placement [296]
                0.00    0.00       1/1           init_draw_coords [294]
                0.00    0.00       1/1           comp_bb_cost [268]
                0.00    0.00       1/1           compute_net_pin_index_values [269]
                0.00    0.00       1/1           count_connections [270]
                0.00    0.00       1/1           recompute_bb_cost [303]
-----------------------------------------------
                0.00    0.41       1/1           try_place [3]
[4]     73.2    0.00    0.41       1         alloc_lookups_and_criticalities [4]
                0.00    0.41       1/1           compute_delay_lookup_tables [5]
                0.00    0.00       1/1           alloc_and_load_timing_graph [248]
                0.00    0.00       1/1           alloc_net_delay [257]
                0.00    0.00       1/1           alloc_crit [254]
-----------------------------------------------
                0.00    0.41       1/1           alloc_lookups_and_criticalities [4]
[5]     73.2    0.00    0.41       1         compute_delay_lookup_tables [5]
                0.00    0.38       1/1           alloc_routing_structs [6]
                0.00    0.03       1/1           compute_delta_arrays [24]
                0.00    0.01       1/1           free_routing_structs [45]
                0.00    0.00       1/1           load_simplified_device [299]
                0.00    0.00       1/1           alloc_and_assign_internal_structures [237]
                0.00    0.00       1/1           setup_chan_width [307]
                0.00    0.00       1/1           get_longest_segment_length [291]
                0.00    0.00       1/1           alloc_delta_arrays [255]
                0.00    0.00       1/1           restore_original_device [305]
                0.00    0.00       1/1           free_and_reset_internal_structures [276]
-----------------------------------------------
                0.00    0.38       1/1           compute_delay_lookup_tables [5]
[6]     67.0    0.00    0.38       1         alloc_routing_structs [6]
                0.00    0.37       1/1           build_rr_graph [7]
                0.00    0.01       1/2           free_rr_graph [32]
                0.00    0.00       1/478         assign_locations [104]
                0.00    0.00       1/1           alloc_route_structs [260]
                0.00    0.00       1/1           alloc_and_load_rr_node_route_structs [246]
                0.00    0.00       1/1           alloc_timing_driven_route_structs [262]
                0.00    0.00       1/1           init_route_structs [295]
-----------------------------------------------
                0.00    0.37       1/1           alloc_routing_structs [6]
[7]     66.1    0.00    0.37       1         build_rr_graph [7]
                0.00    0.35       1/1           alloc_and_load_rr_graph [8]
                0.01    0.00       1/1           alloc_sblock_pattern_lookup [35]
                0.00    0.01       1/1           rr_graph_externals [38]
                0.00    0.00     121/121         load_sblock_pattern_lookup [46]
                0.00    0.00       1/1           alloc_and_load_rr_node_indices [52]
                0.00    0.00       4/382817      my_malloc [57]
                0.00    0.00       3/3           alloc_and_load_pin_to_track_map [183]
                0.00    0.00       3/3           alloc_and_load_track_to_pin_lookup [184]
                0.00    0.00       2/2           alloc_and_load_actual_fc [197]
                0.00    0.00       2/437         alloc_matrix [122]
                0.00    0.00       2/429         free_matrix [124]
                0.00    0.00       1/1           alloc_and_load_seg_details [247]
                0.00    0.00       1/1           alloc_and_load_perturb_ipins [241]
                0.00    0.00       1/1           check_rr_graph [266]
                0.00    0.00       1/1           free_seg_details [285]
                0.00    0.00       1/1           free_sblock_pattern_lookup [284]
                0.00    0.00       1/1           free_type_pin_to_track_map [288]
                0.00    0.00       1/1           free_type_track_to_ipin_map [289]
-----------------------------------------------
                0.00    0.35       1/1           build_rr_graph [7]
[8]     61.8    0.00    0.35       1         alloc_and_load_rr_graph [8]
                0.00    0.17     110/110         build_rr_xchan [13]
                0.00    0.17     110/110         build_rr_ychan [14]
                0.00    0.01     144/144         build_unidir_rr_opins [28]
                0.00    0.00     144/144         build_rr_sinks_sources [145]
                0.00    0.00       1/382817      my_malloc [57]
-----------------------------------------------
                0.01    0.16   27588/55176       build_rr_xchan [13]
                0.01    0.16   27588/55176       build_rr_ychan [14]
[9]     59.8    0.01    0.32   55176         get_track_to_tracks [9]
                0.01    0.31   65868/65868       get_unidir_track_to_chan_seg [10]
                0.00    0.00  107976/166056      is_sbox [47]
                0.00    0.00   55176/18463104     get_seg_start [12]
                0.00    0.00   55176/18254940     get_seg_end [18]
-----------------------------------------------
                0.01    0.31   65868/65868       get_track_to_tracks [9]
[10]    57.6    0.01    0.31   65868         get_unidir_track_to_chan_seg [10]
                0.01    0.15   34980/68548       label_wire_muxes [11]
                0.01    0.14   30888/30888       label_wire_muxes_for_balance [15]
                0.00    0.00   65868/1421350     get_rr_node_index [56]
                0.00    0.00   65868/218668      insert_in_edge_list [61]
-----------------------------------------------
                0.00    0.00     440/68548       load_sblock_pattern_lookup [46]
                0.00    0.01    2240/68548       get_unidir_opin_connections [27]
                0.01    0.13   30888/68548       label_wire_muxes_for_balance [15]
                0.01    0.15   34980/68548       get_unidir_track_to_chan_seg [10]
[11]    56.2    0.02    0.29   68548         label_wire_muxes [11]
                0.24    0.00 18096672/18463104     get_seg_start [12]
                0.06    0.00 18096672/18254940     get_seg_end [18]
                0.00    0.00   68548/382817      my_malloc [57]
-----------------------------------------------
                0.00    0.00   14520/18463104     build_rr_xchan [13]
